No,Name,ValueNum,Parameter
1,attackFrameMax,1,20
2,attackFrameGapMax,1,5
3,attackTotalFrame,1,25
4,attackAfterStopFrameMax,1,60
5,strongAttackFrameMax,1,5
6,strongAttackFrameGapMax,1,30
7,strongAttackTotalFrame,1,35
8,guardFrameMax,1,20
9,justGuardFrameMax,1,15
10,stunFrameMax,1,120
11,hpMax,1,10
12,fightingMeterMax,1,100
13,weaponRelativePos,3,-80,100,-50
14,shieldRelativePos,3,100,100,-50
15,weaponAttackRadius,1,50
16,shieldRadius,1,50
17,modelRadius,1,180
18,weaponAttackPos,3,0,0,-210
19,knockBackPos,3,0,0,-20
20,weaponBackSpeed,1,30
21,shieldBackSpeed,1,30
22,guradRate,1,5
