No,Name,ValueNum,Parameter
1,attackFrameMax,1,60
2,attackFrameGapMax,1,15
3,attackTotalFrame,1,75
4,attackAfterStopFrameMax,1,60
5,strongAttackFrameMax,1,5
6,strongAttackFrameGapMax,1,120
7,strongAttackTotalFrame,1,125
8,guardFrameMax,1,30
9,justGuardFrameMax,1,15
10,stunFrameMax,1,240
11,hpMax,1,3
12,fightingMeterMax,1,100
13,weaponRelativePos,3,-80,100,-50
14,shieldRelativePos,3,100,100,-50
15,weaponAttackRadius,1,50
16,shieldRadius,1,50
17,modelRadius,1,180
18,weaponAttackPos,3,0,0,-210
19,knockBackPos,3,0,0,-20
20,weaponBackSpeed,1,30
21,shieldBackSpeed,1,30
22,guradRate,1,0
